"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-06-06.05.00.000000,11293,32.4,714.2,22.4,36.8,40.46,36.4,102.4,104.0,63.84
2021-07-06-06.10.00.000000,11294,44.3,710.7,30.3,36.8,40.52,36.4,104.1,119.1,86.42
2021-07-06-06.15.00.000000,11295,61.3,709.5,42.1,37.1,40.82,36.3,110.6,136.8,120.14
2021-07-06-06.20.00.000000,11296,85.5,714.4,59.0,37.4,41.18,36.3,138.2,169.6,168.23
2021-07-06-06.25.00.000000,11297,111.9,721.6,78.1,37.7,41.5,36.3,171.8,210.1,222.65
2021-07-06-06.30.00.000000,11298,141.1,725.5,98.8,38.0,41.83,36.3,207.5,252.5,281.67
2021-07-06-06.35.00.000000,11299,172.8,727.7,121.1,38.4,42.2,36.3,245.5,297.1,345.14
2021-07-06-06.40.00.000000,11300,206.0,728.4,144.3,39.0,42.85,36.3,284.7,342.4,411.36
2021-07-06-06.45.00.000000,11301,239.9,729.4,168.3,39.4,43.3,36.3,325.6,388.8,479.67
2021-07-06-06.50.00.000000,11302,274.8,728.9,192.7,40.0,43.98,36.3,367.3,435.3,549.27
2021-07-06-06.55.00.000000,11303,310.3,726.2,216.6,40.6,44.61,36.3,411.6,484.0,617.34
2021-07-06-07.00.00.000000,11304,347.3,721.0,240.4,41.4,45.5,36.3,457.4,533.6,685.35
2021-07-06-07.05.00.000000,11305,384.5,714.5,263.8,42.3,46.58,36.4,504.5,584.1,751.97
2021-07-06-07.10.00.000000,11306,422.5,709.8,287.7,43.6,47.92,36.8,551.1,633.0,820.05
2021-07-06-07.15.00.000000,11307,461.4,704.0,311.5,45.0,49.45,37.4,598.2,682.0,887.92
2021-07-06-07.20.00.000000,11308,499.4,700.1,335.6,46.4,50.99,38.0,644.7,729.9,956.49
2021-07-06-07.25.00.000000,11309,532.0,694.7,354.9,47.8,52.61,38.6,682.9,768.5,1011.59
2021-07-06-07.30.00.000000,11310,555.5,689.9,368.7,49.5,54.49,39.3,711.9,796.5,1050.99
2021-07-06-07.35.00.000000,11311,571.5,685.4,376.6,51.1,56.26,40.3,732.4,815.1,1073.46
2021-07-06-07.40.00.000000,11312,585.5,680.1,383.1,52.4,57.61,41.6,751.0,830.9,1091.9
2021-07-06-07.45.00.000000,11313,598.9,675.8,388.5,53.1,58.39,43.2,768.1,844.6,1107.38
2021-07-06-07.50.00.000000,11314,611.1,670.8,393.8,53.4,58.76,45.0,783.9,856.4,1122.33
2021-07-06-07.55.00.000000,11315,621.0,668.1,398.6,53.8,59.23,47.1,799.2,868.1,1135.92
2021-07-06-08.00.00.000000,11316,630.4,665.3,403.6,54.3,59.76,48.7,813.7,879.7,1150.15
2021-07-06-08.05.00.000000,11317,634.5,668.0,407.6,55.0,60.48,49.8,827.2,891.3,1161.73
2021-07-06-08.10.00.000000,11318,632.2,673.1,410.2,55.7,61.23,50.6,840.0,903.2,1168.91
2021-07-06-08.15.00.000000,11319,626.4,680.7,411.2,56.4,62.01,51.3,852.6,915.5,1171.9
2021-07-06-08.20.00.000000,11320,621.5,686.3,411.2,57.1,62.76,52.3,864.7,927.2,1171.8
2021-07-06-08.25.00.000000,11321,618.7,690.9,411.4,57.6,63.4,53.2,876.2,937.5,1172.34
2021-07-06-08.30.00.000000,11322,614.7,695.5,411.2,58.1,63.87,53.7,887.0,946.7,1171.81
2021-07-06-08.35.00.000000,11323,610.8,700.7,411.5,58.6,64.44,54.1,897.4,955.8,1172.54
2021-07-06-08.40.00.000000,11324,607.1,705.0,411.0,59.1,64.97,54.7,906.7,965.2,1171.27
2021-07-06-08.45.00.000000,11325,604.4,707.3,411.3,59.5,65.44,55.4,915.4,973.6,1171.98
2021-07-06-08.50.00.000000,11326,602.4,708.7,411.1,59.9,65.94,56.0,923.6,981.8,1171.49
2021-07-06-08.55.00.000000,11327,602.8,708.6,411.3,60.3,66.3,56.4,931.4,989.0,1172.1
2021-07-06-09.00.00.000000,11328,603.6,707.9,411.5,60.7,66.81,56.7,938.8,995.3,1172.56
2021-07-06-09.05.00.000000,11329,604.8,707.1,411.3,61.1,67.18,57.2,945.6,999.4,1172.12
2021-07-06-09.10.00.000000,11330,603.6,707.4,411.4,61.4,67.55,57.8,951.7,1001.9,1172.22
2021-07-06-09.15.00.000000,11331,603.7,707.7,411.5,61.7,67.85,58.1,956.6,1004.9,1172.42
2021-07-06-09.20.00.000000,11332,605.5,706.1,411.8,62.0,68.22,58.5,960.6,1008.0,1173.49
2021-07-06-09.25.00.000000,11333,607.7,704.1,411.3,62.4,68.69,58.9,964.2,1011.5,1172.04
2021-07-06-09.30.00.000000,11334,608.3,703.0,411.2,62.9,69.2,59.2,967.6,1014.7,1171.63
2021-07-06-09.35.00.000000,11335,607.1,703.1,411.0,63.3,69.59,59.7,970.8,1019.5,1170.93
2021-07-06-09.40.00.000000,11336,607.1,702.8,411.1,63.7,70.12,60.2,973.4,1023.6,1171.42
2021-07-06-09.45.00.000000,11337,609.1,700.9,411.1,64.1,70.47,60.8,975.4,1027.1,1171.16
2021-07-06-09.50.00.000000,11338,611.9,698.3,411.0,64.5,70.92,61.3,976.9,1028.7,1170.94
2021-07-06-09.55.00.000000,11339,614.4,696.1,411.7,64.7,71.18,61.5,978.7,1030.2,1173.0
2021-07-06-10.00.00.000000,11340,615.2,695.6,411.8,64.9,71.36,61.8,980.8,1030.3,1173.33
2021-07-06-10.05.00.000000,11341,613.6,696.8,411.7,65.0,71.55,62.1,982.6,1029.9,1173.01
2021-07-06-10.10.00.000000,11342,610.3,701.1,411.5,65.3,71.78,62.5,983.2,1029.5,1172.41
2021-07-06-10.15.00.000000,11343,607.1,705.2,411.2,65.4,71.96,62.6,982.8,1027.4,1171.56
2021-07-06-10.20.00.000000,11344,606.1,706.6,411.1,65.5,72.04,62.7,983.1,1021.6,1171.23
2021-07-06-10.25.00.000000,11345,606.1,706.6,411.1,65.5,72.04,62.7,983.1,1021.6,1171.22
2021-07-06-10.30.00.000000,11346,606.8,704.9,411.3,65.5,72.04,62.7,983.9,1021.6,1171.64
2021-07-06-10.35.00.000000,11347,607.8,704.5,411.5,65.5,72.04,62.7,984.0,1021.9,1172.33
2021-07-06-10.40.00.000000,11348,609.3,702.1,411.4,65.5,72.04,62.7,983.7,1022.1,1171.97
2021-07-06-10.45.00.000000,11349,609.8,702.0,410.9,65.5,72.04,62.7,982.5,1020.2,1170.61
2021-07-06-10.50.00.000000,11350,609.7,701.1,410.8,65.5,72.04,62.7,981.7,1018.9,1170.15
2021-07-06-10.55.00.000000,11351,608.8,702.3,410.9,65.5,72.04,62.6,981.4,1019.6,1170.34
2021-07-06-11.00.00.000000,11352,607.7,703.3,410.3,65.5,72.04,62.4,981.8,1023.4,1168.79
2021-07-06-11.05.00.000000,11353,607.6,703.2,410.1,65.5,72.04,62.2,982.3,1028.2,1168.28
2021-07-06-11.10.00.000000,11354,607.8,703.3,410.2,65.5,72.04,62.3,982.2,1030.6,1168.32
2021-07-06-11.15.00.000000,11355,608.9,702.9,410.8,65.5,72.04,62.5,981.7,1028.5,1170.1
2021-07-06-11.20.00.000000,11356,606.9,705.0,411.1,65.5,72.04,62.7,981.4,1024.8,1170.87
2021-07-06-11.25.00.000000,11357,607.8,704.2,411.0,65.5,72.04,62.7,981.4,1021.5,1170.74
2021-07-06-11.30.00.000000,11358,609.8,701.5,411.3,65.5,72.04,62.7,981.7,1020.4,1171.59
2021-07-06-11.35.00.000000,11359,612.9,697.6,411.8,65.5,72.04,62.7,981.2,1019.9,1172.82
2021-07-06-11.40.00.000000,11360,615.7,694.0,412.2,65.5,72.04,62.7,980.3,1018.2,1174.05
2021-07-06-11.45.00.000000,11361,615.5,694.6,412.1,65.5,72.07,62.7,978.8,1016.0,1173.74
2021-07-06-11.50.00.000000,11362,615.7,694.6,411.9,65.8,72.42,62.8,977.8,1014.9,1172.98
2021-07-06-11.55.00.000000,11363,614.8,696.1,411.5,66.2,72.78,63.2,977.0,1015.8,1172.09
2021-07-06-12.00.00.000000,11364,609.8,701.8,411.7,66.5,73.11,63.5,977.8,1020.2,1172.58
2021-07-06-12.05.00.000000,11365,601.6,711.4,411.4,66.5,73.13,63.8,978.5,1027.6,1171.67
2021-07-06-12.10.00.000000,11366,592.9,720.6,411.3,66.5,73.13,63.8,979.7,1036.9,1171.28
2021-07-06-12.15.00.000000,11367,592.2,720.4,411.5,66.5,73.13,63.8,980.1,1043.0,1171.78
2021-07-06-12.20.00.000000,11368,594.9,717.2,411.6,66.5,73.13,63.8,980.2,1043.6,1172.17
2021-07-06-12.25.00.000000,11369,597.3,713.3,411.6,66.5,73.13,63.8,979.5,1040.0,1172.19
2021-07-06-12.30.00.000000,11370,599.3,710.9,411.2,66.5,73.13,63.8,978.8,1035.5,1170.93
2021-07-06-12.35.00.000000,11371,604.6,706.0,411.3,66.5,73.13,64.0,977.8,1030.9,1171.35
2021-07-06-12.40.00.000000,11372,611.3,699.8,411.3,66.5,73.13,64.3,977.5,1027.1,1171.28
2021-07-06-12.45.00.000000,11373,614.9,696.6,411.2,66.5,73.13,64.6,977.6,1023.7,1171.03
2021-07-06-12.50.00.000000,11374,613.5,697.1,411.2,66.6,73.25,64.8,978.5,1021.4,1170.86
2021-07-06-12.55.00.000000,11375,609.4,700.6,411.4,66.9,73.54,64.8,980.4,1023.0,1171.41
2021-07-06-13.00.00.000000,11376,606.8,702.0,411.8,67.2,73.91,64.9,981.6,1025.1,1172.47
2021-07-06-13.05.00.000000,11377,605.0,704.2,411.4,67.4,74.14,64.9,982.3,1028.0,1171.5
2021-07-06-13.10.00.000000,11378,604.6,705.7,411.3,67.5,74.22,64.9,982.1,1027.7,1171.17
2021-07-06-13.15.00.000000,11379,606.5,705.5,411.2,67.5,74.22,64.9,981.9,1024.8,1170.82
2021-07-06-13.20.00.000000,11380,610.1,701.0,411.2,67.5,74.22,65.0,982.0,1020.9,1170.73
2021-07-06-13.25.00.000000,11381,612.7,697.5,411.1,67.5,74.22,65.3,982.5,1019.9,1170.39
2021-07-06-13.30.00.000000,11382,614.2,695.6,410.9,67.5,74.22,65.4,982.8,1020.2,1169.95
2021-07-06-13.35.00.000000,11383,612.6,697.7,411.2,67.5,74.22,65.6,982.8,1021.6,1170.61
2021-07-06-13.40.00.000000,11384,612.2,699.0,411.3,67.5,74.22,65.7,982.2,1020.5,1171.03
2021-07-06-13.45.00.000000,11385,611.6,699.9,411.5,67.5,74.22,65.9,982.0,1020.7,1171.71
2021-07-06-13.50.00.000000,11386,615.5,695.2,411.8,67.5,74.24,66.0,981.8,1020.0,1172.51
2021-07-06-13.55.00.000000,11387,620.5,689.0,412.1,67.7,74.48,66.1,982.0,1018.2,1173.21
2021-07-06-14.00.00.000000,11388,624.4,683.4,412.1,68.0,74.85,66.4,982.1,1017.0,1173.24
2021-07-06-14.05.00.000000,11389,624.4,683.2,411.6,68.4,75.19,66.6,982.4,1018.0,1171.85
2021-07-06-14.10.00.000000,11390,621.1,686.4,410.6,68.5,75.31,66.9,983.2,1023.2,1169.03
2021-07-06-14.15.00.000000,11391,615.6,691.6,409.9,68.5,75.31,67.0,984.6,1029.5,1166.84
2021-07-06-14.20.00.000000,11392,617.8,694.8,410.8,68.5,75.31,67.1,986.3,1033.0,1169.5
2021-07-06-14.25.00.000000,11393,622.0,693.1,412.6,68.5,75.31,67.1,986.9,1030.1,1174.47
2021-07-06-14.30.00.000000,11394,627.7,689.8,413.7,68.5,75.31,67.3,985.6,1024.8,1177.54
2021-07-06-14.35.00.000000,11395,624.2,689.6,413.8,68.6,75.46,67.7,984.7,1025.2,1178.07
2021-07-06-14.40.00.000000,11396,618.3,694.7,413.6,68.9,75.81,67.8,984.7,1031.0,1177.4
2021-07-06-14.45.00.000000,11397,615.1,698.3,414.2,69.3,76.18,68.0,985.2,1033.7,1179.13
2021-07-06-14.50.00.000000,11398,614.8,698.5,414.0,69.5,76.4,68.0,984.4,1032.2,1178.59
2021-07-06-14.55.00.000000,11399,615.5,697.9,413.8,69.5,76.4,68.2,983.1,1029.7,1177.83
2021-07-06-15.00.00.000000,11400,613.8,699.5,413.6,69.5,76.4,68.2,982.1,1028.2,1177.33
2021-07-06-15.05.00.000000,11401,612.7,701.6,413.6,69.5,76.4,68.2,981.7,1026.0,1177.41
2021-07-06-15.10.00.000000,11402,614.4,701.0,413.8,69.5,76.4,68.2,981.4,1023.4,1177.84
2021-07-06-15.15.00.000000,11403,616.3,699.0,413.9,69.5,76.4,68.2,980.7,1024.2,1178.11
2021-07-06-15.20.00.000000,11404,617.1,697.6,413.9,69.5,76.4,68.2,979.8,1027.4,1178.19
2021-07-06-15.25.00.000000,11405,617.7,696.2,414.0,69.5,76.4,68.2,978.5,1031.2,1178.42
2021-07-06-15.30.00.000000,11406,619.0,694.4,414.0,69.5,76.4,68.2,976.5,1029.9,1178.45
2021-07-06-15.35.00.000000,11407,620.9,693.0,414.0,69.5,76.4,68.2,973.6,1026.7,1178.33
2021-07-06-15.40.00.000000,11408,621.5,692.8,413.7,69.5,76.4,68.2,969.5,1022.2,1177.41
2021-07-06-15.45.00.000000,11409,619.1,695.2,413.6,69.5,76.4,68.2,965.7,1019.0,1177.15
2021-07-06-15.50.00.000000,11410,617.5,697.1,413.8,69.5,76.4,68.2,961.7,1014.8,1177.72
2021-07-06-15.55.00.000000,11411,615.8,698.7,413.9,69.5,76.4,68.2,957.0,1008.4,1177.87
2021-07-06-16.00.00.000000,11412,616.1,698.4,414.0,69.5,76.4,68.2,951.6,1003.1,1178.31
2021-07-06-16.05.00.000000,11413,615.3,698.4,413.8,69.5,76.4,68.2,944.8,997.5,1177.76
2021-07-06-16.10.00.000000,11414,614.5,698.6,414.0,69.5,76.4,68.4,938.2,991.8,1178.08
2021-07-06-16.15.00.000000,11415,616.0,697.6,413.5,69.5,76.4,68.6,930.2,984.3,1176.84
2021-07-06-16.20.00.000000,11416,617.9,696.0,413.4,69.5,76.4,68.7,922.1,977.1,1176.52
2021-07-06-16.25.00.000000,11417,620.9,694.2,413.4,69.5,76.4,68.8,913.9,971.3,1176.43
2021-07-06-16.30.00.000000,11418,618.4,694.0,411.7,69.5,76.4,68.8,905.0,963.7,1171.45
2021-07-06-16.35.00.000000,11419,614.3,693.6,409.1,69.5,76.4,68.7,896.0,954.2,1164.09
2021-07-06-16.40.00.000000,11420,607.3,694.6,406.1,69.5,76.4,68.7,886.2,943.3,1155.48
2021-07-06-16.45.00.000000,11421,606.8,694.9,404.3,69.5,76.4,68.4,876.0,934.2,1150.53
2021-07-06-16.50.00.000000,11422,608.2,694.9,404.0,69.5,76.4,68.6,864.6,925.1,1149.71
2021-07-06-16.55.00.000000,11423,611.6,693.4,403.9,69.5,76.4,68.6,852.7,915.2,1149.38
2021-07-06-17.00.00.000000,11424,612.2,690.6,403.6,69.5,76.4,68.7,840.6,902.7,1148.29
2021-07-06-17.05.00.000000,11425,611.3,685.1,400.7,69.5,76.4,68.8,827.7,888.4,1140.22
2021-07-06-17.10.00.000000,11426,612.2,676.4,397.6,69.5,76.4,68.7,814.0,873.8,1131.39
2021-07-06-17.15.00.000000,11427,614.2,667.0,394.1,69.5,76.4,68.9,799.8,859.3,1121.27
2021-07-06-17.20.00.000000,11428,613.4,661.6,390.4,69.5,76.4,69.1,785.0,845.2,1110.89
2021-07-06-17.25.00.000000,11429,606.5,660.0,385.0,69.5,76.4,69.2,769.3,829.8,1095.38
2021-07-06-17.30.00.000000,11430,594.7,661.1,378.3,69.5,76.4,69.0,752.0,812.5,1076.29
2021-07-06-17.35.00.000000,11431,582.8,662.0,371.4,69.5,76.4,68.8,732.8,792.3,1056.65
2021-07-06-17.40.00.000000,11432,569.9,664.2,363.9,69.3,76.18,68.7,706.6,764.0,1035.39
2021-07-06-17.45.00.000000,11433,548.7,667.9,352.7,68.9,75.82,68.6,668.7,724.8,1003.5
2021-07-06-17.50.00.000000,11434,519.8,672.3,336.5,68.4,75.28,68.5,623.0,677.9,957.43
2021-07-06-17.55.00.000000,11435,483.5,676.2,315.2,68.0,74.77,68.2,574.0,628.5,896.67
2021-07-06-18.00.00.000000,11436,445.4,679.4,291.5,67.5,74.24,68.0,527.4,581.1,829.3
2021-07-06-18.05.00.000000,11437,407.0,682.5,267.3,66.9,73.57,67.7,481.8,534.1,760.53
2021-07-06-18.10.00.000000,11438,368.8,685.5,243.2,66.1,72.71,67.2,438.7,488.6,691.87
2021-07-06-18.15.00.000000,11439,332.4,687.7,219.9,65.3,71.81,66.6,397.7,444.7,625.6
2021-07-06-18.20.00.000000,11440,296.1,688.8,196.3,64.5,70.94,66.2,356.8,400.7,558.48
2021-07-06-18.25.00.000000,11441,259.8,691.4,172.8,63.7,70.1,65.6,316.0,356.8,491.65
2021-07-06-18.30.00.000000,11442,223.9,693.1,149.1,62.7,68.95,65.1,275.5,312.9,424.18
2021-07-06-18.35.00.000000,11443,188.3,696.8,125.9,61.6,67.75,64.4,236.4,270.0,358.2
2021-07-06-18.40.00.000000,11444,154.3,698.4,103.2,60.5,66.57,63.6,198.2,227.6,293.59
2021-07-06-18.45.00.000000,11445,122.2,698.2,81.9,59.6,65.55,62.8,161.6,186.6,232.93
2021-07-06-18.50.00.000000,11446,92.9,696.5,62.2,58.6,64.45,62.0,127.8,148.3,176.86
2021-07-06-18.55.00.000000,11447,78.8,694.2,52.7,58.1,63.9,61.7,111.2,129.4,149.9
2021-07-06-19.00.00.000000,11448,65.6,694.9,44.2,57.5,63.28,61.4,96.2,112.2,125.6
2021-07-06-19.05.00.000000,11449,0.0,0.0,0.0,40.7,39.49,39.6,0.0,0.0,0.0
2021-07-06-19.10.00.000000,11450,0.0,0.0,0.0,40.0,38.85,38.8,0.0,0.0,0.0
2021-07-06-19.15.00.000000,11451,0.0,0.0,0.0,39.4,38.2,38.1,0.0,0.0,0.0
2021-07-06-19.20.00.000000,11452,0.0,0.0,0.0,38.7,37.55,37.3,0.0,0.0,0.0
2021-07-06-19.25.00.000000,11453,0.0,0.0,0.0,38.0,36.91,36.6,0.0,0.0,0.0
2021-07-06-19.30.00.000000,11454,0.0,0.0,0.0,37.4,36.26,35.9,0.0,0.0,0.0
2021-07-06-19.35.00.000000,11455,0.0,0.0,0.0,36.7,35.62,35.1,0.0,0.0,0.0
2021-07-06-19.40.00.000000,11456,0.0,0.0,0.0,36.1,34.97,34.4,0.0,0.0,0.0
2021-07-06-19.45.00.000000,11457,0.0,0.0,0.0,35.4,34.32,33.7,0.0,0.0,0.0
2021-07-06-19.50.00.000000,11458,0.0,0.0,0.0,34.7,33.68,32.9,0.0,0.0,0.0
2021-07-06-19.55.00.000000,11459,0.0,0.0,0.0,34.1,33.03,32.2,0.0,0.0,0.0
2021-07-06-20.00.00.000000,11460,0.0,0.0,0.0,33.4,32.39,31.4,0.0,0.0,0.0
2021-07-06-20.05.00.000000,11461,0.0,0.0,0.0,33.3,32.28,31.3,0.0,0.0,0.0
2021-07-06-20.10.00.000000,11462,0.0,0.0,0.0,29.8,28.92,27.5,0.0,0.0,0.0
2021-07-06-20.15.00.000000,11463,0.0,0.0,0.0,29.5,28.57,27.1,0.0,0.0,0.0
2021-07-06-20.20.00.000000,11464,0.0,0.0,0.0,29.1,28.22,26.7,0.0,0.0,0.0
2021-07-06-20.25.00.000000,11465,0.0,0.0,0.0,28.7,27.87,26.3,0.0,0.0,0.0
2021-07-06-20.30.00.000000,11466,0.0,0.0,0.0,28.4,27.52,25.9,0.0,0.0,0.0
2021-07-06-20.35.00.000000,11467,0.0,0.0,0.0,28.0,27.17,25.5,0.0,0.0,0.0
2021-07-06-20.40.00.000000,11468,0.0,0.0,0.0,27.6,26.82,25.1,0.0,0.0,0.0
2021-07-06-20.45.00.000000,11469,0.0,0.0,0.0,27.3,26.47,24.7,0.0,0.0,0.0
2021-07-06-20.50.00.000000,11470,0.0,0.0,0.0,26.9,26.12,24.3,0.0,0.0,0.0
2021-07-06-20.55.00.000000,11471,0.0,0.0,0.0,26.6,25.77,23.9,0.0,0.0,0.0
2021-07-06-21.00.00.000000,11472,0.0,0.0,0.0,26.2,25.42,23.5,0.0,0.0,0.0
2021-07-06-21.05.00.000000,11473,0.0,0.0,0.0,25.9,25.16,23.2,0.0,0.0,0.0
2021-07-06-21.10.00.000000,11474,0.0,0.0,0.0,25.7,24.89,22.8,0.0,0.0,0.0
2021-07-06-21.15.00.000000,11475,0.0,0.0,0.0,25.4,24.63,22.5,0.0,0.0,0.0
2021-07-06-21.20.00.000000,11476,0.0,0.0,0.0,25.1,24.36,22.2,0.0,0.0,0.0
2021-07-06-21.25.00.000000,11477,0.0,0.0,0.0,24.8,24.1,21.9,0.0,0.0,0.0
2021-07-06-21.30.00.000000,11478,0.0,0.0,0.0,24.6,23.83,21.6,0.0,0.0,0.0
2021-07-06-21.35.00.000000,11479,0.0,0.0,0.0,24.3,23.57,21.3,0.0,0.0,0.0
2021-07-06-21.40.00.000000,11480,0.0,0.0,0.0,24.0,23.3,21.0,0.0,0.0,0.0
2021-07-06-21.45.00.000000,11481,0.0,0.0,0.0,23.7,23.04,20.7,0.0,0.0,0.0
2021-07-06-21.50.00.000000,11482,0.0,0.0,0.0,23.5,22.77,20.4,0.0,0.0,0.0
2021-07-06-21.55.00.000000,11483,0.0,0.0,0.0,23.2,22.51,20.1,0.0,0.0,0.0
2021-07-06-22.00.00.000000,11484,0.0,0.0,0.0,22.5,21.86,19.4,0.0,0.0,0.0
2021-07-06-22.05.00.000000,11485,0.0,0.0,0.0,22.5,21.85,19.4,0.0,0.0,0.0
2021-07-06-22.10.00.000000,11486,0.0,0.0,0.0,22.5,21.83,19.3,0.0,0.0,0.0
2021-07-06-22.15.00.000000,11487,0.0,0.0,0.0,22.5,21.81,19.3,0.0,0.0,0.0
2021-07-06-22.20.00.000000,11488,0.0,0.0,0.0,22.5,21.79,19.3,0.0,0.0,0.0
2021-07-06-22.25.00.000000,11489,0.0,0.0,0.0,22.4,21.77,19.3,0.0,0.0,0.0
2021-07-06-22.30.00.000000,11490,0.0,0.0,0.0,22.4,21.75,19.2,0.0,0.0,0.0
2021-07-06-22.35.00.000000,11491,0.0,0.0,0.0,22.4,21.73,19.2,0.0,0.0,0.0
2021-07-06-22.40.00.000000,11492,0.0,0.0,0.0,22.4,21.71,19.2,0.0,0.0,0.0
2021-07-06-22.45.00.000000,11493,0.0,0.0,0.0,22.4,21.69,19.2,0.0,0.0,0.0
2021-07-06-22.50.00.000000,11494,0.0,0.0,0.0,22.3,21.68,19.2,0.0,0.0,0.0
2021-07-06-22.55.00.000000,11495,0.0,0.0,0.0,22.3,21.66,19.1,0.0,0.0,0.0
2021-07-06-23.00.00.000000,11496,0.0,0.0,0.0,22.3,21.64,19.1,0.0,0.0,0.0
2021-07-06-23.05.00.000000,11497,0.0,0.0,0.0,22.3,21.61,19.1,0.0,0.0,0.0
2021-07-06-23.10.00.000000,11498,0.0,0.0,0.0,22.3,21.59,19.1,0.0,0.0,0.0
2021-07-06-23.15.00.000000,11499,0.0,0.0,0.0,22.2,21.56,19.0,0.0,0.0,0.0
2021-07-06-23.20.00.000000,11500,0.0,0.0,0.0,22.2,21.53,19.0,0.0,0.0,0.0
2021-07-06-23.25.00.000000,11501,0.0,0.0,0.0,22.2,21.51,19.0,0.0,0.0,0.0
2021-07-06-23.30.00.000000,11502,0.0,0.0,0.0,22.1,21.48,18.9,0.0,0.0,0.0
2021-07-06-23.35.00.000000,11503,0.0,0.0,0.0,22.1,21.46,18.9,0.0,0.0,0.0
2021-07-06-23.40.00.000000,11504,0.0,0.0,0.0,22.1,21.43,18.9,0.0,0.0,0.0
2021-07-06-23.45.00.000000,11505,0.0,0.0,0.0,22.1,21.41,18.9,0.0,0.0,0.0
2021-06-29-01.05.00.000000,9217,0.0,0.0,0.0,38.8,37.61,42.9,0.0,0.0,0.0
2021-06-29-01.10.00.000000,9218,0.0,0.0,0.0,38.8,37.63,42.9,0.0,0.0,0.0
2021-06-29-01.15.00.000000,9219,0.0,0.0,0.0,38.8,37.66,43.0,0.0,0.0,0.0
