"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-06-29-07.55.00.000000,9299,494.5,580.3,305.0,62.6,53.32,49.5,711.3,748.0,1371.82
2021-06-29-08.00.00.000000,9300,502.5,576.5,307.8,63.6,54.17,50.1,723.1,756.4,1384.13
2021-06-29-08.05.00.000000,9301,509.9,573.9,310.6,64.5,54.94,50.6,734.2,765.1,1396.56
2021-06-29-08.10.00.000000,9302,519.5,571.9,315.4,65.3,55.65,51.1,749.7,778.5,1418.25
2021-06-29-08.15.00.000000,9303,529.9,569.1,320.8,66.1,56.31,51.8,766.2,792.2,1442.47
2021-06-29-08.20.00.000000,9304,541.2,566.5,326.6,67.1,57.13,52.4,783.8,807.1,1468.46
2021-06-29-08.25.00.000000,9305,552.7,562.1,331.0,68.0,57.89,53.0,799.4,820.1,1488.31
2021-06-29-08.30.00.000000,9306,561.8,558.7,334.6,68.9,58.71,53.5,813.2,831.6,1504.76
2021-06-29-08.35.00.000000,9307,567.5,557.0,336.4,69.9,59.56,54.3,823.6,840.5,1512.89
2021-06-29-08.40.00.000000,9308,570.5,556.8,338.1,71.0,60.5,55.1,829.6,845.2,1520.21
2021-06-29-08.45.00.000000,9309,575.3,556.9,340.8,71.9,61.21,55.9,835.7,851.1,1532.52
2021-06-29-08.50.00.000000,9310,582.4,557.8,345.6,73.0,62.15,56.9,845.1,861.7,1554.18
2021-06-29-08.55.00.000000,9311,585.7,560.7,348.9,73.9,62.98,57.7,849.6,869.7,1568.75
2021-06-29-09.00.00.000000,9312,588.4,563.9,352.5,75.1,63.97,58.7,853.9,877.8,1584.98
2021-06-29-09.05.00.000000,9313,586.8,567.9,354.3,67.7,57.66,60.9,857.1,883.1,1593.26
2021-06-29-09.10.00.000000,9314,586.8,567.9,354.3,76.6,65.22,59.4,857.1,883.1,1593.24
2021-06-29-09.15.00.000000,9315,590.2,567.9,356.3,77.0,65.57,59.7,865.8,890.3,1602.11
2021-06-29-09.20.00.000000,9316,594.1,571.9,360.6,77.4,65.9,60.0,885.7,907.8,1621.51
2021-06-29-09.25.00.000000,9317,593.8,576.4,362.8,77.8,66.25,60.4,898.9,917.8,1631.04
2021-06-29-09.30.00.000000,9318,591.8,578.7,362.7,78.6,66.91,60.5,905.8,922.1,1630.82
2021-06-29-09.35.00.000000,9319,589.0,577.2,362.1,79.1,67.33,60.6,909.2,923.1,1628.1
2021-06-29-09.40.00.000000,9320,582.9,577.3,360.1,79.5,67.68,60.9,914.0,925.5,1618.85
2021-06-29-09.45.00.000000,9321,577.0,580.0,359.6,79.5,67.71,61.3,922.2,931.6,1616.63
2021-06-29-09.50.00.000000,9322,578.2,583.4,361.0,79.9,68.05,61.8,929.9,939.1,1623.19
2021-06-29-09.55.00.000000,9323,577.8,586.1,361.1,80.3,68.39,62.1,930.8,942.1,1623.67
2021-06-29-10.00.00.000000,9324,579.9,589.1,362.3,80.7,68.71,62.5,934.3,949.4,1628.9
2021-06-29-10.05.00.000000,9325,578.9,592.6,362.9,81.0,68.93,62.7,936.6,955.3,1631.38
2021-06-29-10.10.00.000000,9326,579.9,595.1,366.5,81.3,69.21,62.7,942.2,963.5,1647.63
2021-06-29-10.15.00.000000,9327,579.4,601.7,369.2,81.7,69.54,62.7,948.2,971.6,1659.9
2021-06-29-10.20.00.000000,9328,576.7,603.3,370.3,81.8,69.68,62.9,951.7,976.8,1664.73
2021-06-29-10.25.00.000000,9329,579.9,606.0,372.0,81.9,69.75,63.1,955.1,981.2,1672.57
2021-06-29-10.30.00.000000,9330,581.6,604.0,373.3,82.2,69.95,63.2,958.1,984.5,1678.05
2021-06-29-10.35.00.000000,9331,585.8,603.8,375.1,82.5,70.25,63.3,961.7,987.6,1686.1
2021-06-29-10.40.00.000000,9332,585.3,604.0,374.8,82.9,70.59,63.5,965.3,990.1,1684.74
2021-06-29-10.45.00.000000,9333,582.2,604.5,374.3,83.1,70.75,63.8,966.9,990.2,1682.58
2021-06-29-10.50.00.000000,9334,579.5,604.8,374.0,83.2,70.8,63.8,968.7,991.0,1681.14
2021-06-29-10.55.00.000000,9335,575.0,604.4,372.6,83.2,70.8,63.8,969.3,991.8,1675.19
2021-06-29-11.00.00.000000,9336,568.9,604.6,369.8,83.2,70.8,63.9,970.2,993.1,1662.26
2021-06-29-11.05.00.000000,9337,568.5,604.4,367.8,83.2,70.8,64.2,970.9,993.6,1653.16
2021-06-29-11.10.00.000000,9338,569.1,604.1,366.1,83.2,70.8,64.4,971.2,992.3,1645.51
2021-06-29-11.15.00.000000,9339,574.1,604.1,366.5,83.3,70.95,64.5,970.3,988.9,1647.71
2021-06-29-11.20.00.000000,9340,569.3,603.8,364.3,83.8,71.29,64.6,968.9,985.3,1637.73
2021-06-29-11.25.00.000000,9341,568.4,603.9,365.0,84.2,71.64,64.7,968.2,983.2,1640.94
2021-06-29-11.30.00.000000,9342,566.8,603.5,364.6,84.4,71.84,64.9,968.8,983.4,1639.07
2021-06-29-11.35.00.000000,9343,569.4,603.9,366.1,84.4,71.84,64.9,969.8,983.8,1645.71
2021-06-29-11.40.00.000000,9344,570.1,604.4,364.8,84.4,71.84,64.9,970.3,983.3,1639.6
2021-06-29-11.45.00.000000,9345,568.3,605.4,363.9,84.4,71.84,64.9,970.3,981.7,1635.7
2021-06-29-11.50.00.000000,9346,565.0,605.0,361.9,84.4,71.84,64.9,970.2,979.8,1626.8
2021-06-29-11.55.00.000000,9347,561.1,603.3,361.2,84.4,71.84,64.9,970.8,980.7,1623.58
2021-06-29-12.00.00.000000,9348,561.9,601.5,360.4,84.4,71.84,65.1,970.8,980.9,1619.71
2021-06-29-12.05.00.000000,9349,564.4,600.7,361.0,84.4,71.84,65.3,971.0,981.5,1622.68
2021-06-29-12.10.00.000000,9350,566.5,600.7,361.0,84.4,71.84,65.4,970.2,979.4,1622.72
2021-06-29-12.15.00.000000,9351,567.9,601.3,361.2,84.4,71.84,65.5,969.5,978.4,1623.43
2021-06-29-12.20.00.000000,9352,563.6,599.8,358.3,84.4,71.84,65.4,968.6,976.7,1610.61
2021-06-29-12.25.00.000000,9353,563.3,599.6,357.8,84.4,71.84,65.4,967.9,976.5,1608.25
2021-06-29-12.30.00.000000,9354,559.9,599.8,357.7,84.7,72.04,65.4,967.6,977.5,1607.84
2021-06-29-12.35.00.000000,9355,562.5,602.2,360.3,84.8,72.15,65.7,967.5,980.3,1619.35
2021-06-29-12.40.00.000000,9356,563.0,603.7,361.1,85.2,72.47,65.9,966.7,981.7,1622.78
2021-06-29-12.45.00.000000,9357,562.9,602.8,360.8,85.3,72.61,66.0,964.8,979.9,1621.44
2021-06-29-12.50.00.000000,9358,560.6,603.8,359.2,85.6,72.86,66.2,963.5,977.1,1614.34
2021-06-29-12.55.00.000000,9359,554.5,603.6,356.6,85.7,72.88,66.5,963.2,973.8,1602.73
2021-06-29-13.00.00.000000,9360,555.5,602.5,356.9,85.7,72.88,66.9,963.8,971.4,1604.1
2021-06-29-13.05.00.000000,9361,557.4,599.9,357.0,85.7,72.88,67.1,963.8,968.2,1604.58
2021-06-29-13.10.00.000000,9362,562.4,597.5,358.1,85.7,72.88,67.1,963.8,965.0,1609.32
2021-06-29-13.15.00.000000,9363,565.2,596.1,356.1,85.7,72.88,67.0,963.6,961.4,1600.36
2021-06-29-13.20.00.000000,9364,561.1,592.4,353.6,85.7,72.88,67.0,963.0,956.9,1589.31
2021-06-29-13.25.00.000000,9365,561.1,592.4,353.6,85.7,72.88,67.0,963.0,956.9,1589.29
2021-06-29-13.30.00.000000,9366,557.0,591.6,352.5,85.7,72.88,67.1,963.2,954.4,1584.13
2021-06-29-13.35.00.000000,9367,557.7,592.0,350.7,85.7,72.88,67.1,963.0,951.1,1575.95
2021-06-29-13.40.00.000000,9368,559.6,592.3,351.3,85.7,72.88,67.1,961.8,947.8,1578.64
2021-06-29-13.45.00.000000,9369,562.0,591.9,352.1,85.7,72.88,67.1,959.6,945.0,1582.08
2021-06-29-13.50.00.000000,9370,560.8,592.0,351.9,85.7,72.88,67.1,958.8,942.6,1581.15
2021-06-29-13.55.00.000000,9371,560.2,590.6,351.4,85.7,72.88,67.1,959.2,941.4,1579.09
2021-06-29-14.00.00.000000,9372,560.4,591.0,351.0,85.7,72.88,67.1,959.4,941.2,1577.11
2021-06-29-14.05.00.000000,9373,565.5,590.7,352.1,85.7,72.88,67.1,958.8,940.7,1582.26
2021-06-29-14.10.00.000000,9374,565.7,590.6,351.8,85.7,72.88,67.1,955.8,937.2,1580.92
2021-06-29-14.15.00.000000,9375,562.4,589.0,350.2,85.7,72.88,67.1,952.4,932.4,1573.66
2021-06-29-14.20.00.000000,9376,558.6,587.9,349.6,85.7,72.88,67.1,949.8,928.5,1571.08
2021-06-29-14.25.00.000000,9377,560.1,587.7,350.6,85.7,72.88,67.1,950.1,929.6,1575.26
2021-06-29-14.30.00.000000,9378,561.6,589.3,352.1,85.7,72.88,67.1,949.7,930.2,1582.23
2021-06-29-14.35.00.000000,9379,562.6,586.9,350.8,85.7,72.89,67.1,944.7,925.6,1576.43
2021-06-29-14.40.00.000000,9380,562.5,585.7,349.4,86.0,73.14,67.1,940.7,921.5,1569.85
2021-06-29-14.45.00.000000,9381,560.2,584.2,347.7,86.4,73.49,67.1,937.4,918.5,1562.4
2021-06-29-14.50.00.000000,9382,560.3,585.5,347.9,86.8,73.83,67.1,941.9,923.0,1563.06
2021-06-29-14.55.00.000000,9383,556.1,585.1,346.3,86.9,73.92,67.1,942.9,923.7,1555.98
2021-06-29-15.00.00.000000,9384,557.0,584.8,346.9,86.9,73.92,67.1,946.0,926.6,1558.74
2021-06-29-15.05.00.000000,9385,556.5,585.1,346.7,86.9,73.92,67.1,944.7,926.4,1557.81
2021-06-29-15.10.00.000000,9386,555.3,584.4,346.8,86.9,73.92,67.1,944.5,927.6,1558.11
2021-06-29-15.15.00.000000,9387,556.0,583.4,345.8,86.9,73.92,67.1,943.2,926.6,1553.56
2021-06-29-15.20.00.000000,9388,553.7,584.0,345.5,86.9,73.92,67.1,941.4,923.7,1552.5
2021-06-29-15.25.00.000000,9389,555.5,584.1,345.8,86.9,73.92,67.1,938.9,919.7,1553.74
2021-06-29-15.30.00.000000,9390,556.1,585.2,345.9,86.9,73.92,67.4,934.1,914.5,1554.28
2021-06-29-15.35.00.000000,9391,557.5,585.0,346.5,86.9,73.92,67.5,929.6,912.0,1556.83
2021-06-29-15.40.00.000000,9392,559.9,588.2,347.9,86.9,73.92,67.5,924.8,910.0,1563.13
2021-06-29-15.45.00.000000,9393,554.7,589.2,347.3,86.9,73.92,67.1,917.0,905.4,1560.29
2021-06-29-15.50.00.000000,9394,554.7,589.2,347.3,86.9,73.92,67.1,917.0,905.4,1560.28
2021-06-29-15.55.00.000000,9395,554.6,587.0,346.6,86.9,73.92,67.1,911.7,900.7,1556.96
2021-06-29-16.00.00.000000,9396,557.7,585.6,347.4,86.9,73.92,67.1,905.8,895.9,1560.94
2021-06-29-16.05.00.000000,9397,559.9,584.4,347.0,86.9,73.92,67.1,899.0,890.6,1559.09
2021-06-29-16.10.00.000000,9398,558.6,583.1,346.6,86.9,73.92,67.1,891.0,884.4,1557.09
2021-06-29-16.15.00.000000,9399,558.3,581.5,346.2,86.9,73.92,67.1,883.0,878.0,1555.18
2021-06-29-16.20.00.000000,9400,559.9,581.6,346.4,86.9,73.92,67.1,876.4,873.3,1556.04
2021-06-29-16.25.00.000000,9401,559.6,580.9,345.7,86.9,73.92,67.1,869.1,867.5,1552.78
2021-06-29-16.30.00.000000,9402,558.0,580.2,343.8,86.9,73.92,67.1,860.5,859.9,1544.33
2021-06-29-16.35.00.000000,9403,555.8,576.9,341.3,86.9,73.92,67.1,849.3,849.0,1533.1
2021-06-29-16.40.00.000000,9404,561.8,568.3,339.5,87.0,73.92,67.1,838.0,838.0,1525.13
2021-06-29-16.45.00.000000,9405,565.7,559.8,337.1,87.0,73.92,67.1,826.4,826.3,1514.46
2021-06-29-16.50.00.000000,9406,567.4,553.2,334.5,87.0,73.92,67.1,813.0,813.4,1502.83
2021-06-29-16.55.00.000000,9407,557.9,554.4,329.4,86.8,73.83,67.1,796.7,799.5,1479.86
2021-06-29-17.00.00.000000,9408,549.0,556.3,324.4,86.4,73.48,67.1,779.9,785.5,1457.23
2021-06-29-17.05.00.000000,9409,540.4,558.6,319.9,86.0,73.14,66.9,766.5,774.3,1436.84
2021-06-29-17.10.00.000000,9410,532.1,561.3,316.0,85.7,72.88,66.6,754.0,762.9,1419.45
2021-06-29-17.15.00.000000,9411,517.1,562.9,308.8,85.7,72.88,66.2,731.3,740.9,1387.3
2021-06-29-17.20.00.000000,9412,497.1,564.1,298.5,85.4,72.63,65.8,701.2,712.0,1340.6
2021-06-29-17.25.00.000000,9413,476.7,565.7,287.0,85.4,72.58,65.4,671.1,683.3,1289.14
2021-06-29-17.30.00.000000,9414,465.5,568.3,281.2,85.4,72.58,65.0,656.0,669.9,1263.26
2021-06-29-17.35.00.000000,9415,461.7,570.5,279.6,85.0,72.25,64.9,649.8,665.0,1255.94
2021-06-29-17.40.00.000000,9416,452.5,571.5,275.0,84.2,71.6,64.7,636.5,652.7,1235.33
2021-06-29-17.45.00.000000,9417,433.8,573.2,264.3,83.4,70.85,64.3,609.7,626.8,1187.02
2021-06-29-17.50.00.000000,9418,410.3,575.1,251.4,82.8,70.4,63.7,578.1,596.6,1129.34
2021-06-29-17.55.00.000000,9419,395.1,577.2,242.8,82.4,70.02,63.1,555.4,575.3,1090.55
2021-06-29-18.00.00.000000,9420,384.3,578.5,236.6,81.8,69.52,62.5,535.4,557.0,1062.47
2021-06-29-18.05.00.000000,9421,370.8,581.4,229.1,81.2,68.97,62.1,511.3,534.3,1028.85
2021-06-29-18.10.00.000000,9422,351.9,587.0,219.4,80.4,68.3,61.8,480.7,505.3,985.37
2021-06-29-18.15.00.000000,9423,329.9,592.6,207.8,79.5,67.55,61.5,448.9,474.5,933.08
2021-06-29-18.20.00.000000,9424,304.3,596.6,192.6,78.6,66.76,61.3,412.2,437.6,864.99
2021-06-29-18.25.00.000000,9425,276.1,597.3,175.0,77.7,66.07,60.9,374.0,398.8,785.85
2021-06-29-18.30.00.000000,9426,251.0,597.3,159.0,77.3,65.65,60.4,340.4,364.5,714.09
2021-06-29-18.35.00.000000,9427,228.8,597.7,145.3,76.6,65.1,59.7,313.3,336.9,652.74
2021-06-29-18.40.00.000000,9428,208.2,598.8,132.5,75.7,64.3,59.4,287.5,310.2,595.07
2021-06-29-18.45.00.000000,9429,178.6,598.3,113.8,74.3,63.16,59.0,250.2,277.3,510.9
2021-06-29-18.50.00.000000,9430,148.3,596.8,94.1,73.4,62.41,58.7,208.9,247.9,422.7
2021-06-29-18.55.00.000000,9431,125.9,594.9,79.6,72.9,61.91,58.3,178.3,216.6,357.56
2021-06-29-19.00.00.000000,9432,97.7,593.8,61.5,72.3,61.45,58.3,136.9,160.6,276.21
2021-06-29-19.05.00.000000,9433,0.0,0.0,0.0,66.5,52.19,59.7,0.0,0.0,0.0
2021-06-29-19.10.00.000000,9434,0.0,0.0,0.0,65.7,51.54,58.9,0.0,0.0,0.0
2021-06-29-19.15.00.000000,9435,0.0,0.0,0.0,64.8,50.89,58.2,0.0,0.0,0.0
2021-06-29-19.20.00.000000,9436,0.0,0.0,0.0,64.0,50.25,57.4,0.0,0.0,0.0
2021-06-29-19.25.00.000000,9437,0.0,0.0,0.0,63.2,49.6,56.7,0.0,0.0,0.0
2021-06-29-19.30.00.000000,9438,0.0,0.0,0.0,62.4,48.96,56.0,0.0,0.0,0.0
2021-06-29-19.35.00.000000,9439,0.0,0.0,0.0,61.6,48.31,55.2,0.0,0.0,0.0
2021-06-29-19.40.00.000000,9440,0.0,0.0,0.0,60.7,47.66,54.5,0.0,0.0,0.0
2021-06-29-19.45.00.000000,9441,0.0,0.0,0.0,59.9,47.02,53.7,0.0,0.0,0.0
2021-06-29-19.50.00.000000,9442,0.0,0.0,0.0,59.1,46.37,53.0,0.0,0.0,0.0
2021-06-29-19.55.00.000000,9443,0.0,0.0,0.0,58.3,45.73,52.3,0.0,0.0,0.0
2021-06-29-20.00.00.000000,9444,0.0,0.0,0.0,57.4,45.08,51.5,0.0,0.0,0.0
2021-06-29-20.05.00.000000,9445,0.0,0.0,0.0,57.3,44.97,51.4,0.0,0.0,0.0
2021-06-29-20.10.00.000000,9446,0.0,0.0,0.0,55.6,43.62,49.8,0.0,0.0,0.0
2021-06-29-20.15.00.000000,9447,0.0,0.0,0.0,55.1,43.27,49.4,0.0,0.0,0.0
2021-06-29-20.20.00.000000,9448,0.0,0.0,0.0,54.7,42.92,49.0,0.0,0.0,0.0
2021-06-29-20.25.00.000000,9449,0.0,0.0,0.0,54.3,42.58,48.6,0.0,0.0,0.0
2021-06-29-20.30.00.000000,9450,0.0,0.0,0.0,53.8,42.23,48.2,0.0,0.0,0.0
2021-06-29-20.35.00.000000,9451,0.0,0.0,0.0,53.4,41.88,47.8,0.0,0.0,0.0
2021-06-29-20.40.00.000000,9452,0.0,0.0,0.0,52.9,41.53,47.4,0.0,0.0,0.0
2021-06-29-20.45.00.000000,9453,0.0,0.0,0.0,52.5,41.18,47.0,0.0,0.0,0.0
2021-06-29-20.50.00.000000,9454,0.0,0.0,0.0,52.0,40.83,46.6,0.0,0.0,0.0
2021-06-29-20.55.00.000000,9455,0.0,0.0,0.0,51.6,40.48,46.2,0.0,0.0,0.0
2021-06-29-21.00.00.000000,9456,0.0,0.0,0.0,51.2,40.13,45.8,0.0,0.0,0.0
2021-06-29-21.05.00.000000,9457,0.0,0.0,0.0,50.8,39.86,45.5,0.0,0.0,0.0
2021-07-02-14.25.00.000000,10241,562.8,621.1,370.6,75.4,63.03,53.7,988.0,1019.0,1186.18
2021-07-02-14.30.00.000000,10242,559.6,623.2,371.2,75.8,63.38,53.9,989.4,1021.6,1187.84
2021-07-02-14.35.00.000000,10243,557.3,625.6,371.6,76.0,63.53,53.9,991.1,1024.4,1189.36
2021-07-02-14.40.00.000000,10244,555.5,628.1,371.7,76.0,63.53,53.9,991.5,1026.1,1189.58
2021-07-02-14.45.00.000000,10245,555.7,628.3,371.9,76.0,63.53,53.9,991.4,1026.8,1190.03
