"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-02-16.40.00.000000,10268,0.0,0.0,0.0,60.7,67.32,54.5,874.8,921.0,1189.81
2021-07-02-16.45.00.000000,10269,0.0,0.0,0.0,60.9,67.59,54.6,858.1,904.5,1189.12
2021-07-02-16.50.00.000000,10270,0.0,0.0,0.0,61.2,67.96,54.6,841.6,888.3,1186.24
2021-07-02-16.55.00.000000,10271,0.0,0.0,0.0,61.4,68.14,54.5,825.8,872.4,1175.17
2021-07-02-17.00.00.000000,10272,0.0,0.0,0.0,61.5,68.23,54.6,810.1,856.9,1159.52
2021-07-02-17.05.00.000000,10273,0.0,0.0,0.0,61.5,68.23,54.4,793.6,840.9,1141.04
2021-07-02-17.10.00.000000,10274,0.0,0.0,0.0,61.2,67.97,54.2,773.9,823.1,1120.72
2021-07-02-17.15.00.000000,10275,0.0,0.0,0.0,60.9,67.61,53.9,754.6,804.8,1099.65
2021-07-02-17.20.00.000000,10276,0.0,0.0,0.0,60.6,67.23,53.9,737.0,785.9,1078.99
2021-07-02-17.25.00.000000,10277,0.0,0.0,0.0,60.3,66.91,53.8,710.2,778.7,1043.14
2021-07-02-17.30.00.000000,10278,0.0,0.0,0.0,60.2,66.83,53.5,686.8,753.0,1018.57
2021-07-02-17.35.00.000000,10279,0.0,0.0,0.0,60.0,66.58,53.1,648.4,702.2,976.39
2021-07-02-17.40.00.000000,10280,0.0,0.0,0.0,59.5,66.06,52.5,606.3,660.9,933.26
2021-07-02-17.45.00.000000,10281,0.0,0.0,0.0,58.7,65.15,52.1,535.9,614.0,832.39
2021-07-02-17.50.00.000000,10282,0.0,0.0,0.0,57.7,63.99,51.5,480.0,553.3,755.66
2021-07-02-17.55.00.000000,10283,0.0,0.0,0.0,56.6,62.87,50.7,443.9,510.2,700.06
2021-07-02-18.00.00.000000,10284,0.0,0.0,0.0,55.7,61.79,50.0,420.3,474.1,669.88
2021-07-02-18.05.00.000000,10285,0.0,0.0,0.0,54.7,60.75,49.4,390.5,439.9,619.95
2021-07-02-18.10.00.000000,10286,0.0,0.0,0.0,53.9,59.78,49.1,330.3,391.0,520.91
2021-07-02-18.15.00.000000,10287,0.0,0.0,0.0,52.7,58.44,48.4,266.6,315.4,414.77
2021-07-02-18.20.00.000000,10288,0.0,0.0,0.0,51.4,57.05,47.7,218.0,224.8,336.15
2021-07-02-18.25.00.000000,10289,0.0,0.0,0.0,50.0,55.55,47.0,194.7,221.4,298.04
2021-07-02-18.30.00.000000,10290,0.0,0.0,0.0,49.1,54.55,46.8,181.6,207.8,275.39
2021-07-02-18.35.00.000000,10291,0.0,0.0,0.0,48.5,53.82,46.8,153.9,177.5,226.67
2021-07-02-18.40.00.000000,10292,0.0,0.0,0.0,48.1,53.41,47.0,125.3,145.1,179.53
2021-07-02-18.45.00.000000,10293,0.0,0.0,0.0,47.8,53.11,47.2,109.6,127.1,153.89
2021-07-02-18.50.00.000000,10294,0.0,0.0,0.0,47.6,52.8,47.0,94.5,109.9,130.56
2021-07-02-18.55.00.000000,10295,0.0,0.0,0.0,43.0,41.72,42.2,0.0,0.0,0.0
2021-07-02-19.00.00.000000,10296,0.0,0.0,0.0,42.3,41.05,41.4,0.0,0.0,0.0
2021-07-02-19.05.00.000000,10297,0.0,0.0,0.0,41.6,40.4,40.7,0.0,0.0,0.0
2021-07-02-19.10.00.000000,10298,0.0,0.0,0.0,41.0,39.75,39.9,0.0,0.0,0.0
2021-07-02-19.15.00.000000,10299,0.0,0.0,0.0,40.3,39.11,39.2,0.0,0.0,0.0
2021-07-02-19.20.00.000000,10300,0.0,0.0,0.0,39.7,38.46,38.5,0.0,0.0,0.0
2021-07-02-19.25.00.000000,10301,0.0,0.0,0.0,39.0,37.82,37.7,0.0,0.0,0.0
2021-07-02-19.30.00.000000,10302,0.0,0.0,0.0,38.3,37.17,37.0,0.0,0.0,0.0
2021-07-02-19.35.00.000000,10303,0.0,0.0,0.0,37.7,36.52,36.2,0.0,0.0,0.0
2021-07-02-19.40.00.000000,10304,0.0,0.0,0.0,37.0,35.88,35.5,0.0,0.0,0.0
2021-07-02-19.45.00.000000,10305,0.0,0.0,0.0,36.3,35.23,34.8,0.0,0.0,0.0
2021-07-02-19.50.00.000000,10306,0.0,0.0,0.0,35.7,34.59,34.0,0.0,0.0,0.0
2021-07-02-19.55.00.000000,10307,0.0,0.0,0.0,35.0,33.94,33.3,0.0,0.0,0.0
2021-07-02-20.00.00.000000,10308,0.0,0.0,0.0,34.3,33.3,32.5,0.0,0.0,0.0
2021-07-02-20.05.00.000000,10309,0.0,0.0,0.0,34.2,33.19,32.4,0.0,0.0,0.0
2021-07-02-20.10.00.000000,10310,0.0,0.0,0.0,29.6,28.73,27.3,0.0,0.0,0.0
2021-07-02-20.15.00.000000,10311,0.0,0.0,0.0,29.3,28.38,26.9,0.0,0.0,0.0
2021-07-02-20.20.00.000000,10312,0.0,0.0,0.0,28.9,28.03,26.5,0.0,0.0,0.0
2021-07-02-20.25.00.000000,10313,0.0,0.0,0.0,28.5,27.68,26.1,0.0,0.0,0.0
2021-07-02-20.30.00.000000,10314,0.0,0.0,0.0,28.2,27.33,25.7,0.0,0.0,0.0
2021-07-02-20.35.00.000000,10315,0.0,0.0,0.0,27.8,26.98,25.3,0.0,0.0,0.0
2021-07-02-20.40.00.000000,10316,0.0,0.0,0.0,27.5,26.63,24.9,0.0,0.0,0.0
2021-07-02-20.45.00.000000,10317,0.0,0.0,0.0,27.1,26.28,24.5,0.0,0.0,0.0
2021-07-02-20.50.00.000000,10318,0.0,0.0,0.0,26.7,25.93,24.1,0.0,0.0,0.0
2021-07-02-20.55.00.000000,10319,0.0,0.0,0.0,26.4,25.58,23.7,0.0,0.0,0.0
2021-07-02-21.00.00.000000,10320,0.0,0.0,0.0,26.0,25.23,23.3,0.0,0.0,0.0
2021-07-02-21.05.00.000000,10321,0.0,0.0,0.0,25.7,24.97,23.0,0.0,0.0,0.0
2021-07-02-21.10.00.000000,10322,0.0,0.0,0.0,25.5,24.7,22.7,0.0,0.0,0.0
2021-07-02-21.15.00.000000,10323,0.0,0.0,0.0,25.2,24.44,22.4,0.0,0.0,0.0
2021-07-02-21.20.00.000000,10324,0.0,0.0,0.0,24.9,24.17,22.1,0.0,0.0,0.0
2021-07-02-21.25.00.000000,10325,0.0,0.0,0.0,24.6,23.91,21.8,0.0,0.0,0.0
2021-07-02-21.30.00.000000,10326,0.0,0.0,0.0,24.4,23.64,21.5,0.0,0.0,0.0
2021-07-02-21.35.00.000000,10327,0.0,0.0,0.0,24.1,23.38,21.2,0.0,0.0,0.0
2021-07-02-21.40.00.000000,10328,0.0,0.0,0.0,23.8,23.11,20.9,0.0,0.0,0.0
2021-07-02-21.45.00.000000,10329,0.0,0.0,0.0,23.6,22.85,20.6,0.0,0.0,0.0
2021-07-02-21.50.00.000000,10330,0.0,0.0,0.0,23.3,22.58,20.3,0.0,0.0,0.0
2021-07-02-21.55.00.000000,10331,0.0,0.0,0.0,23.0,22.32,20.0,0.0,0.0,0.0
2021-07-02-22.00.00.000000,10332,0.0,0.0,0.0,22.3,21.68,19.2,0.0,0.0,0.0
2021-07-02-22.05.00.000000,10333,0.0,0.0,0.0,22.3,21.66,19.2,0.0,0.0,0.0
2021-07-02-22.10.00.000000,10334,0.0,0.0,0.0,22.3,21.64,19.2,0.0,0.0,0.0
2021-07-02-22.15.00.000000,10335,0.0,0.0,0.0,22.3,21.62,19.2,0.0,0.0,0.0
2021-07-02-22.20.00.000000,10336,0.0,0.0,0.0,22.3,21.6,19.1,0.0,0.0,0.0
2021-07-02-22.25.00.000000,10337,0.0,0.0,0.0,22.2,21.58,19.1,0.0,0.0,0.0
2021-07-02-22.30.00.000000,10338,0.0,0.0,0.0,22.2,21.56,19.1,0.0,0.0,0.0
2021-07-02-22.35.00.000000,10339,0.0,0.0,0.0,22.2,21.54,19.1,0.0,0.0,0.0
2021-07-02-22.40.00.000000,10340,0.0,0.0,0.0,22.2,21.53,19.1,0.0,0.0,0.0
2021-07-02-22.45.00.000000,10341,0.0,0.0,0.0,22.2,21.51,19.0,0.0,0.0,0.0
2021-07-02-22.50.00.000000,10342,0.0,0.0,0.0,22.2,21.49,19.0,0.0,0.0,0.0
2021-07-02-22.55.00.000000,10343,0.0,0.0,0.0,22.1,21.47,19.0,0.0,0.0,0.0
2021-07-02-23.00.00.000000,10344,0.0,0.0,0.0,22.1,21.45,19.0,0.0,0.0,0.0
2021-07-02-23.05.00.000000,10345,0.0,0.0,0.0,22.1,21.42,18.9,0.0,0.0,0.0
2021-07-02-23.10.00.000000,10346,0.0,0.0,0.0,22.1,21.4,18.9,0.0,0.0,0.0
2021-07-02-23.15.00.000000,10347,0.0,0.0,0.0,22.0,21.37,18.9,0.0,0.0,0.0
2021-07-02-23.20.00.000000,10348,0.0,0.0,0.0,22.0,21.35,18.9,0.0,0.0,0.0
2021-07-02-23.25.00.000000,10349,0.0,0.0,0.0,22.0,21.32,18.8,0.0,0.0,0.0
2021-07-02-23.30.00.000000,10350,0.0,0.0,0.0,22.0,21.29,18.8,0.0,0.0,0.0
2021-07-02-23.35.00.000000,10351,0.0,0.0,0.0,21.9,21.27,18.8,0.0,0.0,0.0
2021-07-02-23.40.00.000000,10352,0.0,0.0,0.0,21.9,21.24,18.7,0.0,0.0,0.0
2021-07-02-23.45.00.000000,10353,0.0,0.0,0.0,21.9,21.22,18.7,0.0,0.0,0.0
2021-07-02-23.50.00.000000,10354,0.0,0.0,0.0,21.8,21.19,18.7,0.0,0.0,0.0
2021-07-02-23.55.00.000000,10355,0.0,0.0,0.0,21.8,21.17,18.6,0.0,0.0,0.0
2021-07-03-00.00.00.000000,10356,0.0,0.0,0.0,21.8,21.14,18.6,0.0,0.0,0.0
2021-07-03-00.05.00.000000,10357,0.0,0.0,0.0,21.8,21.16,18.6,0.0,0.0,0.0
2021-07-03-00.10.00.000000,10358,0.0,0.0,0.0,21.8,21.18,18.7,0.0,0.0,0.0
2021-07-03-00.15.00.000000,10359,0.0,0.0,0.0,21.9,21.2,18.7,0.0,0.0,0.0
2021-07-03-00.20.00.000000,10360,0.0,0.0,0.0,21.9,21.22,18.7,0.0,0.0,0.0
2021-07-03-00.25.00.000000,10361,0.0,0.0,0.0,21.9,21.24,18.7,0.0,0.0,0.0
2021-07-03-00.30.00.000000,10362,0.0,0.0,0.0,21.9,21.26,18.8,0.0,0.0,0.0
2021-07-03-00.35.00.000000,10363,0.0,0.0,0.0,21.9,21.28,18.8,0.0,0.0,0.0
2021-07-03-00.40.00.000000,10364,0.0,0.0,0.0,22.0,21.31,18.8,0.0,0.0,0.0
2021-07-03-00.45.00.000000,10365,0.0,0.0,0.0,22.0,21.33,18.8,0.0,0.0,0.0
2021-07-03-00.50.00.000000,10366,0.0,0.0,0.0,22.0,21.35,18.9,0.0,0.0,0.0
2021-07-03-00.55.00.000000,10367,0.0,0.0,0.0,22.0,21.37,18.9,0.0,0.0,0.0
2021-07-03-01.00.00.000000,10368,0.0,0.0,0.0,22.0,21.39,18.9,0.0,0.0,0.0
2021-07-03-01.05.00.000000,10369,0.0,0.0,0.0,21.1,20.43,17.8,0.0,0.0,0.0
2021-07-03-01.10.00.000000,10370,0.0,0.0,0.0,21.1,20.45,17.8,0.0,0.0,0.0
2021-07-03-01.15.00.000000,10371,0.0,0.0,0.0,21.1,20.48,17.9,0.0,0.0,0.0
2021-07-03-01.20.00.000000,10372,0.0,0.0,0.0,21.1,20.5,17.9,0.0,0.0,0.0
2021-07-03-01.25.00.000000,10373,0.0,0.0,0.0,21.2,20.52,17.9,0.0,0.0,0.0
2021-07-03-01.30.00.000000,10374,0.0,0.0,0.0,21.2,20.55,17.9,0.0,0.0,0.0
2021-07-03-01.35.00.000000,10375,0.0,0.0,0.0,21.2,20.57,18.0,0.0,0.0,0.0
2021-07-03-01.40.00.000000,10376,0.0,0.0,0.0,21.2,20.6,18.0,0.0,0.0,0.0
2021-07-03-01.45.00.000000,10377,0.0,0.0,0.0,21.3,20.62,18.0,0.0,0.0,0.0
2021-07-03-01.50.00.000000,10378,0.0,0.0,0.0,21.3,20.65,18.0,0.0,0.0,0.0
2021-07-03-01.55.00.000000,10379,0.0,0.0,0.0,21.3,20.67,18.1,0.0,0.0,0.0
2021-07-03-02.00.00.000000,10380,0.0,0.0,0.0,21.3,20.69,18.1,0.0,0.0,0.0
2021-07-03-02.05.00.000000,10381,0.0,0.0,0.0,21.4,20.75,18.2,0.0,0.0,0.0
2021-07-03-02.10.00.000000,10382,0.0,0.0,0.0,21.4,20.8,18.2,0.0,0.0,0.0
2021-07-03-02.15.00.000000,10383,0.0,0.0,0.0,21.5,20.85,18.3,0.0,0.0,0.0
2021-07-03-02.20.00.000000,10384,0.0,0.0,0.0,21.5,20.9,18.3,0.0,0.0,0.0
2021-07-03-02.25.00.000000,10385,0.0,0.0,0.0,21.6,20.95,18.4,0.0,0.0,0.0
2021-07-03-02.30.00.000000,10386,0.0,0.0,0.0,21.7,21.0,18.5,0.0,0.0,0.0
2021-07-03-02.35.00.000000,10387,0.0,0.0,0.0,21.7,21.05,18.5,0.0,0.0,0.0
2021-07-03-02.40.00.000000,10388,0.0,0.0,0.0,21.8,21.1,18.6,0.0,0.0,0.0
2021-07-03-02.45.00.000000,10389,0.0,0.0,0.0,21.8,21.15,18.6,0.0,0.0,0.0
2021-07-03-02.50.00.000000,10390,0.0,0.0,0.0,21.9,21.21,18.7,0.0,0.0,0.0
2021-07-03-02.55.00.000000,10391,0.0,0.0,0.0,21.9,21.26,18.7,0.0,0.0,0.0
2021-07-03-03.00.00.000000,10392,0.0,0.0,0.0,22.0,21.31,18.8,0.0,0.0,0.0
2021-07-03-03.05.00.000000,10393,0.0,0.0,0.0,22.1,21.44,19.0,0.0,0.0,0.0
2021-07-03-03.10.00.000000,10394,0.0,0.0,0.0,22.2,21.57,19.1,0.0,0.0,0.0
2021-07-03-03.15.00.000000,10395,0.0,0.0,0.0,22.4,21.7,19.3,0.0,0.0,0.0
2021-07-03-03.20.00.000000,10396,0.0,0.0,0.0,22.5,21.83,19.4,0.0,0.0,0.0
2021-07-03-03.25.00.000000,10397,0.0,0.0,0.0,22.6,21.96,19.5,0.0,0.0,0.0
2021-07-03-03.30.00.000000,10398,0.0,0.0,0.0,22.8,22.09,19.7,0.0,0.0,0.0
2021-07-03-03.35.00.000000,10399,0.0,0.0,0.0,22.9,22.21,19.8,0.0,0.0,0.0
2021-07-03-03.40.00.000000,10400,0.0,0.0,0.0,23.0,22.34,20.0,0.0,0.0,0.0
2021-07-03-03.45.00.000000,10401,0.0,0.0,0.0,23.2,22.47,20.1,0.0,0.0,0.0
2021-07-03-03.50.00.000000,10402,0.0,0.0,0.0,23.3,22.6,20.3,0.0,0.0,0.0
2021-07-03-03.55.00.000000,10403,0.0,0.0,0.0,23.4,22.73,20.4,0.0,0.0,0.0
2021-07-03-04.00.00.000000,10404,0.0,0.0,0.0,23.6,22.86,20.6,0.0,0.0,0.0
2021-07-03-04.05.00.000000,10405,0.0,0.0,0.0,23.7,22.95,20.7,0.0,0.0,0.0
2021-07-03-04.10.00.000000,10406,0.0,0.0,0.0,23.8,23.04,20.8,0.0,0.0,0.0
2021-07-03-04.15.00.000000,10407,0.0,0.0,0.0,23.9,23.13,20.9,0.0,0.0,0.0
2021-07-03-04.20.00.000000,10408,0.0,0.0,0.0,23.9,23.23,21.0,0.0,0.0,0.0
2021-07-03-04.25.00.000000,10409,0.0,0.0,0.0,24.0,23.32,21.1,0.0,0.0,0.0
2021-07-03-04.30.00.000000,10410,0.0,0.0,0.0,24.1,23.41,21.2,0.0,0.0,0.0
2021-07-03-04.35.00.000000,10411,0.0,0.0,0.0,24.2,23.5,21.3,0.0,0.0,0.0
2021-07-03-04.40.00.000000,10412,0.0,0.0,0.0,24.3,23.59,21.4,0.0,0.0,0.0
2021-07-03-04.45.00.000000,10413,0.0,0.0,0.0,24.4,23.68,21.5,0.0,0.0,0.0
2021-07-03-04.50.00.000000,10414,0.0,0.0,0.0,24.5,23.77,21.6,0.0,0.0,0.0
2021-07-03-04.55.00.000000,10415,0.0,0.0,0.0,24.6,23.86,21.7,0.0,0.0,0.0
2021-07-03-05.00.00.000000,10416,0.0,0.0,0.0,24.7,23.95,21.8,0.0,0.0,0.0
2021-07-03-05.05.00.000000,10417,0.0,0.0,0.0,24.9,24.2,22.1,0.0,0.0,0.0
2021-07-03-05.10.00.000000,10418,0.0,0.0,0.0,25.2,24.45,22.4,0.0,0.0,0.0
2021-07-03-05.15.00.000000,10419,0.0,0.0,0.0,25.5,24.7,22.7,0.0,0.0,0.0
2021-07-03-05.20.00.000000,10420,0.0,0.0,0.0,25.7,24.94,23.0,0.0,0.0,0.0
2021-07-03-05.25.00.000000,10421,0.0,0.0,0.0,26.0,25.19,23.3,0.0,0.0,0.0
2021-07-03-05.30.00.000000,10422,0.0,0.0,0.0,26.2,25.44,23.5,0.0,0.0,0.0
2021-07-03-05.35.00.000000,10423,0.0,0.0,0.0,26.5,25.69,23.8,0.0,0.0,0.0
2021-07-03-05.40.00.000000,10424,0.0,0.0,0.0,26.7,25.94,24.1,0.0,0.0,0.0
2021-07-03-05.45.00.000000,10425,0.0,0.0,0.0,27.0,26.19,24.4,0.0,0.0,0.0
2021-07-03-05.50.00.000000,10426,0.0,0.0,0.0,27.3,26.43,24.7,0.0,0.0,0.0
2021-07-03-05.55.00.000000,10427,0.0,0.0,0.0,27.5,26.68,25.0,0.0,0.0,0.0
2021-07-03-06.00.00.000000,10428,0.0,0.0,0.0,27.8,26.93,25.2,0.0,0.0,0.0
2021-07-03-06.05.00.000000,10429,0.0,0.0,0.0,34.8,38.6,35.2,114.9,145.3,37.47
2021-07-03-06.10.00.000000,10430,0.0,0.0,0.0,35.1,38.95,34.8,91.9,105.4,55.32
2021-07-03-06.15.00.000000,10431,0.0,0.0,0.0,35.3,39.24,34.8,92.6,111.1,75.08
2021-07-03-06.20.00.000000,10432,0.0,0.0,0.0,35.6,39.46,34.6,99.7,124.2,103.71
2021-07-03-06.25.00.000000,10433,0.0,0.0,0.0,35.8,39.69,34.8,124.4,153.4,148.84
2021-07-03-06.30.00.000000,10434,0.0,0.0,0.0,36.0,39.93,34.9,157.3,193.3,199.78
2021-07-03-06.35.00.000000,10435,0.0,0.0,0.0,36.3,40.3,35.1,192.7,235.9,256.79
2021-07-03-06.40.00.000000,10436,0.0,0.0,0.0,36.7,40.69,35.2,230.1,280.1,318.27
2021-07-03-06.45.00.000000,10437,0.0,0.0,0.0,37.1,41.15,35.2,269.6,325.9,382.87
2021-07-03-06.50.00.000000,10438,0.0,0.0,0.0,37.6,41.73,35.2,310.1,372.1,449.13
2021-07-03-06.55.00.000000,10439,0.0,0.0,0.0,38.2,42.41,35.2,351.0,417.8,517.8
2021-07-03-07.00.00.000000,10440,0.0,0.0,0.0,38.8,43.12,35.2,390.9,461.7,585.95
2021-07-03-07.05.00.000000,10441,0.0,0.0,0.0,39.6,43.94,35.2,433.8,508.1,654.36
2021-07-03-07.10.00.000000,10442,0.0,0.0,0.0,40.6,45.01,35.3,479.1,556.8,721.3
2021-07-03-07.15.00.000000,10443,0.0,0.0,0.0,41.7,46.24,35.6,527.5,609.0,791.35
2021-07-03-07.20.00.000000,10444,0.0,0.0,0.0,44.1,48.97,36.6,623.6,712.1,935.48
2021-07-03-07.25.00.000000,10445,0.0,0.0,0.0,44.1,48.97,36.6,623.6,712.1,935.46
2021-07-03-07.30.00.000000,10446,0.0,0.0,0.0,45.0,50.0,37.0,652.1,742.0,979.43
2021-07-03-07.35.00.000000,10447,0.0,0.0,0.0,47.3,52.46,38.1,693.0,783.5,1041.8
2021-07-03-07.40.00.000000,10448,0.0,0.0,0.0,49.7,55.17,39.4,724.0,813.9,1083.28
2021-07-03-07.45.00.000000,10449,0.0,0.0,0.0,50.5,56.09,40.2,736.6,826.6,1096.42
2021-07-03-07.50.00.000000,10450,0.0,0.0,0.0,51.2,56.87,42.2,756.0,846.2,1117.64
2021-07-03-07.55.00.000000,10451,0.0,0.0,0.0,51.4,57.0,44.2,773.4,864.1,1136.03
2021-07-03-08.00.00.000000,10452,0.0,0.0,0.0,51.3,56.89,46.0,789.5,881.0,1154.78
2021-07-03-08.05.00.000000,10453,0.0,0.0,0.0,51.4,57.06,46.8,804.6,896.7,1169.18
2021-07-03-08.10.00.000000,10454,0.0,0.0,0.0,51.6,57.24,47.2,819.0,911.1,1178.55
2021-07-03-08.15.00.000000,10455,0.0,0.0,0.0,51.6,57.24,47.2,819.0,911.1,1178.53
2021-07-03-08.20.00.000000,10456,0.0,0.0,0.0,51.9,57.57,47.5,857.0,947.6,1176.56
2021-07-03-08.25.00.000000,10457,0.0,0.0,0.0,51.9,57.57,47.5,857.0,947.6,1176.54
2021-07-03-08.30.00.000000,10458,0.0,0.0,0.0,52.2,57.95,47.8,869.6,958.2,1177.7
2021-07-03-08.35.00.000000,10459,0.0,0.0,0.0,52.5,58.22,48.2,881.8,967.8,1180.15
2021-07-03-08.40.00.000000,10460,0.0,0.0,0.0,52.7,58.55,48.6,892.0,976.3,1180.79
2021-07-03-08.45.00.000000,10461,0.0,0.0,0.0,53.1,58.93,48.6,902.0,984.9,1180.72
2021-07-03-08.50.00.000000,10462,0.0,0.0,0.0,53.4,59.29,48.1,911.2,992.6,1179.75
2021-07-03-08.55.00.000000,10463,0.0,0.0,0.0,53.6,59.44,47.8,919.8,1000.1,1179.97
2021-07-03-09.00.00.000000,10464,0.0,0.0,0.0,53.4,59.29,47.0,927.4,1006.7,1179.07
2021-07-03-09.05.00.000000,10465,0.0,0.0,0.0,53.1,58.93,46.5,934.7,1014.1,1179.03
2021-07-03-09.10.00.000000,10466,0.0,0.0,0.0,52.8,58.57,45.4,941.3,1021.0,1178.01
2021-07-03-09.15.00.000000,10467,0.0,0.0,0.0,52.6,58.35,45.1,947.2,1027.3,1179.03
2021-07-03-09.20.00.000000,10468,0.0,0.0,0.0,52.6,58.34,45.1,951.8,1031.8,1179.04
2021-07-03-09.25.00.000000,10469,0.0,0.0,0.0,52.6,58.35,45.2,955.7,1035.6,1178.86
2021-07-03-09.30.00.000000,10470,0.0,0.0,0.0,52.8,58.56,45.5,959.1,1038.7,1178.0
2021-07-03-09.35.00.000000,10471,0.0,0.0,0.0,53.1,58.93,45.9,962.5,1041.7,1176.81
2021-07-03-09.40.00.000000,10472,0.0,0.0,0.0,53.4,59.28,46.2,965.3,1044.4,1176.17
2021-07-03-09.45.00.000000,10473,0.0,0.0,0.0,53.5,59.44,46.2,967.9,1046.6,1176.1
2021-07-03-09.50.00.000000,10474,0.0,0.0,0.0,53.6,59.44,46.4,969.8,1048.4,1176.7
2021-07-03-09.55.00.000000,10475,0.0,0.0,0.0,53.6,59.44,46.7,971.5,1050.2,1177.68
2021-07-03-10.00.00.000000,10476,0.0,0.0,0.0,53.6,59.44,47.0,972.5,1051.5,1176.94
2021-07-03-10.05.00.000000,10477,0.0,0.0,0.0,53.8,59.76,47.2,973.5,1052.3,1175.91
2021-07-03-10.10.00.000000,10478,0.0,0.0,0.0,54.2,60.13,47.3,974.1,1052.1,1174.78
2021-07-03-10.15.00.000000,10479,0.0,0.0,0.0,54.5,60.49,47.3,974.6,1051.8,1174.62
2021-07-03-10.20.00.000000,10480,0.0,0.0,0.0,54.5,60.54,47.6,975.3,1052.7,1175.46
2021-07-03-10.25.00.000000,10481,0.0,0.0,0.0,54.7,60.76,48.0,976.1,1054.8,1177.23
2021-07-06-03.45.00.000000,11265,0.0,0.0,0.0,24.2,23.48,21.3,0.0,0.0,0.0
2021-07-06-03.50.00.000000,11266,0.0,0.0,0.0,24.3,23.61,21.4,0.0,0.0,0.0
2021-07-06-03.55.00.000000,11267,0.0,0.0,0.0,24.5,23.74,21.6,0.0,0.0,0.0
2021-07-06-04.00.00.000000,11268,0.0,0.0,0.0,24.6,23.87,21.7,0.0,0.0,0.0
2021-07-06-04.05.00.000000,11269,0.0,0.0,0.0,24.7,23.96,21.8,0.0,0.0,0.0
